<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.16	13:00:00	3865.7	3878.3	3863.2	3877.4	1840	0	9
2022.09.16	14:00:00	3876.8	3876.9	3868.9	3871.8	1987	0	10
2022.09.16	15:00:00	3872.0	3872.3	3848.7	3849.6	2689	0	8
2022.09.16	16:00:00	3849.6	3863.0	3838.3	3842.0	8425	0	6
2022.09.16	17:00:00	3842.1	3876.0	3842.1	3852.1	12653	0	6
2022.09.16	18:00:00	3852.3	3863.9	3845.4	3859.6	9485	0	7
2022.09.16	19:00:00	3859.7	3860.5	3837.6	3851.6	6317	0	7
2022.09.16	20:00:00	3851.5	3855.1	3841.0	3844.4	5650	0	6
2022.09.16	21:00:00	3844.6	3869.1	3843.3	3865.4	6432	0	7
2022.09.16	22:00:00	3865.5	3879.1	3858.2	3872.3	10892	0	6
2022.09.16	23:00:00	3872.7	3872.8	3872.7	3872.8	2	0	12
2022.09.19	01:00:00	3872.5	3880.2	3871.8	3878.8	649	0	10
2022.09.19	02:00:00	3878.6	3883.1	3877.0	3878.9	1364	0	6
2022.09.19	03:00:00	3879.1	3884.4	3878.4	3881.4	1847	0	10
2022.09.19	04:00:00	3881.5	3884.0	3876.5	3881.6	2055	0	11
2022.09.19	05:00:00	3881.4	3881.9	3859.5	3867.0	2011	0	12
2022.09.19	06:00:00	3866.9	3869.0	3863.3	3867.1	1037	0	12
2022.09.19	07:00:00	3867.2	3868.7	3864.3	3867.8	745	0	7
2022.09.19	08:00:00	3867.8	3870.1	3860.3	3860.3	1193	0	7
2022.09.19	09:00:00	3860.0	3860.9	3851.2	3859.6	2164	0	7
2022.09.19	10:00:00	3859.3	3859.3	3845.9	3846.5	3349	0	8
2022.09.19	11:00:00	3846.7	3854.6	3840.8	3841.9	2300	0	10
2022.09.19	12:00:00	3842.1	3846.7	3835.9	3839.6	2298	0	7
2022.09.19	13:00:00	3839.5	3842.9	3831.7	3842.7	1963	0	7
2022.09.19	14:00:00	3842.7	3847.4	3836.2	3836.6	2027	0	6
2022.09.19	15:00:00	3836.5	3852.2	3836.4	3847.7	2524	0	6
2022.09.19	16:00:00	3847.7	3871.7	3838.5	3865.5	5351	0	6
2022.09.19	17:00:00	3865.5	3888.7	3857.2	3878.5	7350	0	6
2022.09.19	18:00:00	3878.5	3886.7	3859.0	3862.0	5133	0	6
2022.09.19	19:00:00	3862.2	3880.5	3855.7	3878.5	5310	0	6
2022.09.19	20:00:00	3878.2	3880.0	3867.2	3871.5	3743	0	6
2022.09.19	21:00:00	3871.5	3876.5	3864.0	3876.0	4051	0	6
2022.09.19	22:00:00	3876.0	3903.5	3876.0	3903.2	5856	0	6
2022.09.20	01:00:00	3910.1	3911.6	3909.1	3909.6	222	0	6
2022.09.20	02:00:00	3909.6	3916.3	3908.6	3916.3	979	0	6
2022.09.20	03:00:00	3916.1	3919.6	3908.6	3910.6	1540	0	6
2022.09.20	04:00:00	3910.6	3910.8	3904.6	3908.6	1669	0	6
2022.09.20	05:00:00	3908.6	3910.6	3906.6	3909.8	1154	0	6
2022.09.20	06:00:00	3910.1	3911.8	3908.6	3911.3	750	0	6
2022.09.20	07:00:00	3911.3	3912.6	3910.3	3911.3	506	0	6
2022.09.20	08:00:00	3911.3	3915.1	3910.1	3913.6	749	0	6
2022.09.20	09:00:00	3913.8	3913.8	3907.3	3910.3	1596	0	6
2022.09.20	10:00:00	3910.3	3921.1	3898.1	3900.3	3023	0	6
2022.09.20	11:00:00	3900.3	3901.6	3891.6	3896.6	2064	0	6
2022.09.20	12:00:00	3896.6	3897.6	3882.6	3886.6	2164	0	6
2022.09.20	13:00:00	3886.6	3888.1	3880.3	3887.3	1967	0	6
